"","Strain","Phylum","Class","Order","Family","Genus","ZOTU","Morphology_MBOA"
"1","LAT1","NA","NA","NA","NA","NA","NA","Redmix"
"2","LAT2","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ZOTU663","NR"
"3","LBH1","NA","NA","NA","NA","NA","NA","Redmix"
"4","LBH2","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Redmix"
"5","LBH3","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Redmix"
"6","LBH4","NA","NA","NA","NA","NA","NA","NR"
"7","LBH5","NA","NA","NA","NA","NA","NA","NR"
"8","LBH6","NA","NA","NA","NA","NA","NA","Redmix"
"9","LBH7","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Redmix"
"10","LBO1","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU294","Redmix"
"11","LBO11","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU1442","Redmix"
"12","LBO2","NA","NA","NA","NA","NA","NA","NR"
"13","LBO3","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Redmix"
"14","LBO4","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Red"
"15","LBO5","NA","NA","NA","NA","NA","NA","NR"
"16","LBO6","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Redmix"
"17","LBS1","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","ZOTU2326","Redmix"
"18","LWH1","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU294","Redmix"
"19","LWH10","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","NA","Red"
"20","LWH11","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"21","LWH12","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"22","LWH13","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"23","LWH2","NA","NA","NA","NA","NA","NA","Red"
"24","LWH3","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU294","Red"
"25","LWH4","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Redmix"
"26","LWH5","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","ZOTU1074","Redmix"
"27","LWH6","NA","NA","NA","NA","NA","NA","Redmix"
"28","LWH7","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU294","Red"
"29","LWH8","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Redmix"
"30","LWH9","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Redmix"
"31","LWO1","NA","NA","NA","NA","NA","NA","Red"
"32","LWO11","NA","NA","NA","NA","NA","NA","Red"
"33","LWO12","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"34","LWO13","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"35","LWO14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"36","LWO15","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU4","Redmix"
"37","LWO2","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","NA","Red"
"38","LWO3","NA","NA","NA","NA","NA","NA","NR"
"39","LWO4","NA","NA","NA","NA","NA","NA","Red"
"40","LWO5","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","NA","Red"
"41","LWO6","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU1","NR"
"42","LWO7","NA","NA","NA","NA","NA","NA","Red"
"43","LWO8","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","NA","Redmix"
"44","LAC11","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxellaceae","ZOTU3257","pale_red"
"45","LAR12","Actinobacteriota","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","ZOTU325","NR"
"46","LAR21","Actinobacteriota","Actinobacteria","Actinomycetales","Micrococcaceae","Paenarthrobacter","ZOTU56","NR"
"47","LBA1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"48","LBA111","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NA"
"49","LBA112","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"50","LBA18","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NA"
"51","LBA20","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU428","NR"
"52","LBA21","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU428","NR"
"53","LBA3","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"54","LBA71","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"55","LDE1","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","ZOTU1049","NA"
"56","LMA1","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Red"
"57","LMA2","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU7872","NR"
"58","LMB2","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU435","Red"
"59","LMC1","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","ZOTU72","NR"
"60","LMC3","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Red"
"61","LMD1","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","ZOTU2326","Red"
"62","LMD2","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","ZOTU2326","Red"
"63","LME1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU209","NR"
"64","LME2","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU209","NR"
"65","LME3","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ZOTU15","Red"
"66","LMF1","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","NA","NR"
"67","LMG1","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ZOTU266","NR"
"68","LMG2","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ZOTU266","NR"
"69","LMH1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","NA","NR"
"70","LMI1","Actinobacteriota","Actinobacteria","Actinomycetales","Microbacteriaceae","Micrococcineae","ZOTU3260","NR"
"71","LMI11","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU435","NR"
"72","LMI111","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"73","LMI112","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"74","LMI12","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU294","NR"
"75","LMI121","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"76","LMI13","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU435","NR"
"77","LMI14","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU435","NR"
"78","LMI15","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU435","NR"
"79","LMI17","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"80","LMI18","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NR"
"81","LMI1x","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU435","NR"
"82","LMI21","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU294","NR"
"83","LMI22","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"84","LMI2x","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NR"
"85","LMI32","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"86","LMI51","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NR"
"87","LMI522","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"88","LMI62","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"89","LMI81","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","NA"
"90","LMJ1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"91","LMK1","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","ZOTU72","NR"
"92","LML1","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","NA","NR"
"93","LMM1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU428","NR"
"94","LMN1","Bacteroidetes","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophaga","ZOTU1297","NR"
"95","LMO1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU7872","NR"
"96","LMP1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU428","NR"
"97","LMQ1","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","ZOTU1417","NR"
"98","LMR1","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium","ZOTU16187","pale_red"
"99","LMS1","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","ZOTU76","NR"
"100","LMT1","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ZOTU11515","NR"
"101","LMU1","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Burkholderia","ZOTU88","NR"
"102","LMV1","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","*","NR"
"103","LMW1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"104","LMX1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU649","Red"
"105","LMX11","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU1","NR"
"106","LMX2","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"107","LMX3","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","NA","Red"
"108","LMX4","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU1","NR"
"109","LMX5","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","NA","Red"
"110","LMX6","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"111","LMX7","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Micrococcineae","ZOTU435","Red"
"112","LMX8","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU428","NR"
"113","LMX9","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU1","NR"
"114","LMX92","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ZOTU15","Red"
"115","LMX922","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ZOTU15","Red"
"116","LMX923","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ZOTU15","Red"
"117","LMX9231","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ZOTU15","Red"
"118","LMY1","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","NA","NR"
"119","LMZ1","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","ZOTU15","Red"
"120","LPA2","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","ZOTU56","NA"
"121","LPA21","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","ZOTU56","NR"
"122","LPB4.O","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NR"
"123","LPB4.R","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NR"
"124","LPD11","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU4","NR"
"125","LPD12","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU4","NR"
"126","LPD121","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NA"
"127","LPD2","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NR"
"128","LPD21","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NR"
"129","LPD22","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NA"
"130","LPD32","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NA"
"131","LPD33","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NA"
"132","LPD34","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NA"
"133","LPE13","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","ZOTU4413","NR"
"134","LRC7.O","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","ZOTU6","pale_red"
"135","LRC7.S","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","ZOTU6","pale_red"
"136","LRH11","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","ZOTU6","pale_red"
"137","LRH12","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ZOTU6","pale_red"
"138","LRH13","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","ZOTU6","pale_red"
"139","LRH8.O","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","ZOTU6","pale_red"
"140","LRH8.S","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","ZOTU6","pale_red"
"141","LSP13","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Red"
"142","LST11","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"143","LST12","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"144","LST13","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"145","LST14","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"146","LST15","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"147","LST16","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"148","LST17","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"149","LST18","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"150","LST19","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"151","LST20","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"152","LST21","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"153","LST22","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"154","LST23","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"155","LST24","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"156","LST25","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"157","LST26","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU59","NA"
"158","LST27","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"159","LST28","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"160","LST52","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"161","LST521","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"162","LST60","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NR"
"163","LST61","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"164","LST72","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"165","LST82","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ZOTU8","NA"
"166","LWS1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"167","LWS11","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU5959","Redmix"
"168","LWS12","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","ZOTU2","Red"
"169","LWS13","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU294","Red"
"170","LWS15","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ZOTU1321","NR"
"171","LWS2","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","NA","Red"
"172","LBN1","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"173","LBN2","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Redmix"
"174","LBN3","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Redmix"
"175","LBN4","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Redmix"
"176","LBN5","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU1","NR"
"177","LBN6","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","ZOTU1162","NR"
"178","LBN7","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"179","LMS2","NA","NA","NA","NA","NA","NA","NR"
"180","LMS3","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU1","NR"
"181","LMS4","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"182","LMS5","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"183","LWS2.2","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU4","NR"
"184","KSC1","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","ZOTU5182","NR"
"185","LTA1","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU36","NR"
"186","LTA2","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Redmix"
"187","LTA3","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU4","NR"
"188","LTA4","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"189","LTA5","NA","NA","NA","NA","NA","NA","Red"
"190","LTA6","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ZOTU435","Red"
"191","LTA7","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ZOTU36","NR"
