Quantify Compound Summary Report 

Printed Wed Jun 25 15:57:34 2025

Compound 1:  AMP

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	ng/mL	%Dev
1	1	20250623_PM_CP_25CMP18_1	Blank								
2	2	20250623_PM_CP_25CMP18_2	Analyte		1.31	5547.986		5547.986	bb		
3	3	20250623_PM_CP_25CMP18_3	Analyte		1.31	6955.900		6955.900	bb		
4	4	20250623_PM_CP_25CMP18_4	Analyte		1.31	6466.599		6466.599	bb		
5	5	20250623_PM_CP_25CMP18_5	Analyte						MM-		
6	6	20250623_PM_CP_25CMP18_6	Analyte						MM-		
7	7	20250623_PM_CP_25CMP18_7	Analyte						MM-		
8	8	20250623_PM_CP_25CMP18_8	Analyte		1.31	4460.122		4460.122	bb		
9	9	20250623_PM_CP_25CMP18_9	Analyte		1.31	5174.901		5174.901	bb		
10	10	20250623_PM_CP_25CMP18_10	Analyte		1.31	5826.290		5826.290	bb		
11	11	20250623_PM_CP_25CMP18_11	Analyte						MM-		
12	12	20250623_PM_CP_25CMP18_12	Analyte						MM-		
13	13	20250623_PM_CP_25CMP18_13	Analyte		1.34	7.766		7.766	MM		
14	14	20250623_PM_CP_25CMP18_14	Analyte								
15	15	20250623_PM_CP_25CMP18_15	Analyte		1.31	4467.815		4467.815	bb		
16	16	20250623_PM_CP_25CMP18_16	Analyte		1.33	11.130		11.130	bb		
17	17	20250623_PM_CP_25CMP18_17	Analyte						MM-		
18	18	20250623_PM_CP_25CMP18_18	Analyte		1.34	6.424		6.424	MM		
19	19	20250623_PM_CP_25CMP18_19	Analyte		1.34	7.477		7.477	bb		
20	20	20250623_PM_CP_25CMP18_20	Analyte		1.31	3413.849		3413.849	bb		
21	21	20250623_PM_CP_25CMP18_21	Analyte								
22	22	20250623_PM_CP_25CMP18_22	Analyte								
23	23	20250623_PM_CP_25CMP18_23	Analyte								
24	24	20250623_PM_CP_25CMP18_24	Analyte								
25	25	20250623_PM_CP_25CMP18_25	Analyte		1.31	19.007		19.007	bb		
26	26	20250623_PM_CP_25CMP18_26	Analyte								
27	27	20250623_PM_CP_25CMP18_27	Analyte								
28	28	20250623_PM_CP_25CMP18_28	Analyte								
29	29	20250623_PM_CP_25CMP18_29	Analyte		1.35	6.270		6.270	bb		
30	30	20250623_PM_CP_25CMP18_30	Analyte								
31	31	20250623_PM_CP_25CMP18_31	Analyte								
32	32	20250623_PM_CP_25CMP18_32	Analyte								
33	33	20250623_PM_CP_25CMP18_33	Analyte								
34	34	20250623_PM_CP_25CMP18_34	Analyte		1.33	7.993		7.993	bb		
35	35	20250623_PM_CP_25CMP18_35	Analyte		1.34	8.162		8.162	bb		
36	36	20250623_PM_CP_25CMP18_36	Analyte								
37	37	20250623_PM_CP_25CMP18_37	Analyte								
38	38	20250623_PM_CP_25CMP18_38	Analyte		1.33	8.132		8.132	bb		
39	39	20250623_PM_CP_25CMP18_39	Analyte								
40	40	20250623_PM_CP_25CMP18_40	Analyte								
41	41	20250623_PM_CP_25CMP18_41	Analyte		1.35	5.898		5.898	MM		
42	42	20250623_PM_CP_25CMP18_42	Analyte		1.32	16.283		16.283	bb		
43	43	20250623_PM_CP_25CMP18_43	Analyte		1.34	6.472		6.472	bb		
44	44	20250623_PM_CP_25CMP18_44	Analyte								
45	45	20250623_PM_CP_25CMP18_45	Analyte								
46	46	20250623_PM_CP_25CMP18_46	Analyte						MM-		
47	47	20250623_PM_CP_25CMP18_47	Analyte								
48	48	20250623_PM_CP_25CMP18_48	Analyte						MM-		
49	49	20250623_PM_CP_25CMP18_49	Analyte								
50	50	20250623_PM_CP_25CMP18_50	Analyte		1.31	17.678		17.678	bb		
51	51	20250623_PM_CP_25CMP18_51	Analyte		1.31	16.165		16.165	bb		
52	52	20250623_PM_CP_25CMP18_52	Analyte		1.32	14.618		14.618	bb		
53	53	20250623_PM_CP_25CMP18_53	Analyte								
54	54	20250623_PM_CP_25CMP18_54	Analyte								
55	55	20250623_PM_CP_25CMP18_55	Analyte		1.33	8.286		8.286	bb		
